Nest.ID,Male,Female,Pair,Year,Date.Found,Last.Date.Alive,First.Date.Dead,Notes,First.date.simp,Include_YN,Day.Found,Last.Day.Alive,First.Day.Dead,Fate,Full.Term,Hatched,Hatched.Own,Fledged,Long,Lat,Supplement,Nest.Attempt,Age.Male,Age.Female,Age.Min,Age.Max,Age.Avg,Exper.Male,Exper.Female,Exper.Min,Exper.Max,Exper.Avg,CumAtt.Male,CumAtt.Female,CumAtt.Min,CumAtt.Max,CumAtt.Avg,MGenAny,MGenAll,FGenAny,FGenAll,CGenAny ,CGenAll,Male.Type,Female.Type,Pair.Type,Male.Dam,Male.Sire,Female.Dam,Female.Sire
2011P,1885,1917,7-07/39-07,2011,4/18/2011,5/5/2011,5/6/2011,"Throw Out; nest failure human-caused, did not follow protocol",18-Apr,N,10,27,28,1,N,N,N,N,-90.2407,44.2319,0,1,4,4,4,4,4,0,0,0,1,0,1,1,1,1,1,2,2,3,5,2,5,U,D,2,1164,1165,1202,1216
2011Q,1807,1921,24-05/42-07,2011,4/18/2011,4/28/2011,4/29/2011,,18-Apr,Y,10,20,21,1,N,N,N,N,-89.85646,43.89027,0,1,6,4,4,6,5,0,0,0,0,0,1,1,1,1,1,3,3,3,5,3,5,U,D,2,1135,1560,1156,1254
2011N,1958,1811,31-08/27-05,2011,4/20/2011,4/29/2011,4/30/2011,,20-Apr,Y,12,21,22,1,N,N,N,N,-90.18924,43.99268,0,1,3,6,3,6,4.5,0,1,0,1,0.5,1,2,1,2,1.5,3,3,3,3,3,3,D,D,2,1263,1128,1263,1128
2011R,1794,1900,12-05/22-07,2011,4/21/2011,4/21/2011,4/23/2011,,21-Apr,Y,13,13,15,1,N,N,N,N,-90.16135,44.15839,0,1,6,4,4,6,5,0,0,0,0,0,1,1,1,1,1,3,3,3,5,3,5,U,U,1,1135,1560,1202,1216
2011S,1751,1802,8-04/19-05,2011,4/27/2011,5/8/2011,5/9/2011,,27-Apr,Y,19,30,31,1,N,N,N,N,-90.20125,44.14878,0,1,7,6,6,7,6.5,1,1,1,1,1,4,4,4,4,4,3,3,3,3,3,3,U,U,1,1135,1133,1135,1560
2011T,1909,1972,33-07/5-09,2011,5/4/2011,6/3/2011,6/4/2011,This is a nest that incubated past term; gave 30 intervals,4-May,Y,26,56,57,1,Y,N,N,N,-89.7069,44.21024,0,1,4,2,2,4,3,0,0,0,1,0,1,1,1,1,1,2,2,3,3,2,3,U,U,1,1154,1127,1135,1133
2012A,1881,1963,3-07/38-08,2012,3/26/2012,4/3/2012,4/4/2012,,26-Mar,Y,1,9,10,1,N,N,N,N,-90.1715,44.2061,0,1,5,4,4,5,4.5,1,1,1,1,1,2,2,2,2,2,3,5,2,2,2,5,U,D,2,1202,1216,1366,1422
2012B,1673,1762,12-02/19-04,2012,3/31/2012,4/29/2012,4/29/2012,,31-Mar,Y,6,35,35,0,Y,Y,Y,Y,-90.02544,44.42245,0,1,10,8,8,10,9,1,1,1,1,1,7,7,7,7,7,2,3,3,4,2,4,U,U,1,1119,1114,1263,1100
2012C,1909,1972,33-07/5-09,2012,4/2/2012,4/6/2012,4/7/2012,,2-Apr,Y,8,12,13,1,N,N,N,N,-89.72113,44.21063,0,1,5,3,3,5,4,1,1,1,1,1,2,2,2,2,2,2,2,3,3,2,3,U,U,1,1154,1127,1135,1133
2012E,1794,1900,12-05/22-07,2012,4/4/2012,4/25/2012,4/26/2012,Throw Out; Dummy egg left in nest did not meet protocol,4-Apr,N,10,31,32,1,N,N,N,N,-90.16389,44.15693,0,1,7,5,5,7,6,1,1,1,1,1,3,3,3,3,3,3,3,3,5,3,5,U,U,1,1135,1560,1202,1216
2012D,1991,2011,24-09/42-09,2012,4/4/2012,5/6/2012,5/6/2012,,4-Apr,Y,10,42,42,0,Y,Y,Y,N,-89.78245,44.18056,0,1,3,3,3,3,3,0,0,0,1,0,1,1,1,1,1,2,2,2,3,2,3,U,D,2,1261,1386,1163,1128
2012F,1677,1894,16-02/16-07,2012,4/5/2012,4/15/2012,4/16/2012,,5-Apr,Y,11,21,22,1,N,N,N,N,-90.1495,44.1777,0,1,10,5,5,10,7.5,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,3,U,U,1,1142,1147,1168,1420
2012G,1791,1708,9-05/13-03,2012,4/6/2012,4/6/2012,4/7/2012,,6-Apr,Y,12,12,13,1,N,N,N,N,-90.20341,44.10169,0,1,7,9,7,9,8,1,1,1,1,1,2,6,2,6,4,2,2,3,3,2,3,U,U,1,1167,1162,1135,1133
2012H,1746,1704,3-04/9-03,2012,4/7/2012,5/7/2012,5/8/2012,This is a nest that incubated past term; gave 30 intervals,7-Apr,Y,13,43,44,1,Y,N,N,N,-90.16759,44.06215,0,1,8,9,8,9,8.5,1,1,1,1,1,8,8,8,8,8,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2012I,1943,1950,14-08/24-08,2012,4/8/2012,5/8/2012,5/8/2012,,8-Apr,Y,14,44,44,0,Y,Y,Y,N,-90.1834,44.05188,0,1,4,4,4,4,4,0,0,0,1,0,1,1,1,1,1,3,5,2,2,2,5,U,U,1,1156,1254,1154,1127
2012J,1674,1679,13-02/18-02,2012,4/11/2012,5/9/2012,5/9/2012,,11-Apr,Y,17,45,45,0,Y,Y,Y,N,-90.163672,44.066883,0,1,10,10,10,10,10,1,1,1,1,1,8,8,8,8,8,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2012K,1705,1874,10-03/W1-06,2012,4/14/2012,4/24/2012,4/25/2012,,14-Apr,Y,20,30,31,1,N,N,N,N,-90.16728,44.07696,0,1,9,6,6,9,7.5,1,1,1,1,1,4,4,4,4,4,3,4,3,4,3,4,U,W,2,1188,1175,1678,1672
2012M,1759,1971,16-04/4-09,2012,4/15/2012,5/13/2012,5/13/2012,,15-Apr,Y,21,49,49,0,Y,Y,Y,N,-90.36994,44.07934,0,1,8,3,3,8,5.5,1,0,0,1,0.5,3,1,1,3,2,2,3,2,2,2,3,U,U,1,1136,1144,1164,1213
2012L,1713,2005,18-03/36-09,2012,4/15/2012,4/15/2012,4/16/2012,,15-Apr,Y,21,21,22,1,N,N,N,N,-90.19375,44.08502,0,1,9,3,3,9,6,1,0,0,1,0.5,6,1,1,6,3.5,2,3,3,3,2,3,U,D,2,1142,1147,1140,1128
2012N,1786,1758,5-05/15-04,2012,4/17/2012,4/20/2012,4/21/2012,,17-Apr,Y,23,26,27,1,N,N,N,N,-90.198437,44.186431,0,1,7,8,7,8,7.5,1,1,1,1,1,5,5,5,5,5,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2012O,1885,1917,7-07/39-07,2012,4/17/2012,5/17/2012,5/18/2012,This is a nest that incubated past term; gave 30 intervals,17-Apr,Y,23,53,54,1,Y,N,N,N,-90.23528,44.22634,0,1,5,5,5,5,5,1,1,1,1,1,2,2,2,2,2,2,2,3,5,2,5,U,D,2,1164,1165,1202,1216
2012Q,1751,1802,8-04/19-05,2012,4/19/2012,4/29/2012,4/30/2012,,19-Apr,Y,25,35,36,1,N,N,N,N,-90.19444,44.1637,0,1,8,7,7,8,7.5,1,1,1,1,1,5,5,5,5,5,3,3,3,3,3,3,U,U,1,1135,1133,1135,1560
